Троих задержанных на народном сходе в поддержку студента МГУ Азата Мифтахова оставляют до понедельника в полиции,"Студента МГУ Дмитрия Иванова, активиста Никиту Зайцева и Константина Котова обвиняют в повторном нарушении правил проведения публичного мероприятия"
Массовая драка произошла в шведском Нючёпинге,Он расположен на берегу Балтийского моря в сотне километров к юго-западу от Стокгольма…
"МЧС предупреждает жителей московского региона о метели, сильном ветре и гололедице","Порывы ветра могут достигать 16 м/с, на дорогах возможны заносы…"
Съезд партии «Гражданская инициатива» вновь проголосовал за переименование ее в «Партию перемен»,Также сегодня на этом мероприятии было принято решение об избрании председателем партии Дмитрия Гудкова…
"Россиянам не интересно, куда уходят их налоги, посетовал глава Счетной палаты Алексей Кудрин",В стране нет чувства налогоплательщика…
Инвестиционный фонд Baring Vostok намерен и дальше обжаловать арест своего финансового директора Филиппа Дельпаля,"Накануне Мосгорсуд признал законным заключение его под стражу по делу о мошенничестве на 2,5 млрд. рублей…"
"Российское посольство в Греции заверило, что помогает задержанному Евгению Калинину",Ему оказывают всю необходимую консульскую помощь…
Суд в Кисловодске арестовал на 10 суток бойца смешанных единоборств Александра Емельяненко,Решение принято по административному делу о неповиновении сотруднику полиции…
Московский «Локомотив» сыграл вничью – 2:2 – с самарскими «Крыльями Советов»,Матч 18-го тура чемпионата России по футболу проходил в столице…
Болельщики московского «Спартака» устроили драку во время матча с санкт-петербургским СКА,На «ЦСКА-Арене» в столице проходил третий матч первого раунда плей-офф Континентальной хоккейной лиги…
"Правительство предложило создать реестр людей, которые не могут быть усыновителями или попечителями детей-сирот",Такой законопроект кабинет министров уже внес в Госдуму…
Почти двести человек пострадали в столкновениях демонстрантов с полицией в Алжире за последние сутки,Еще один скончался от сердечного приступа…
Сотрудники экстренных служб поверяют информацию об угрозе взрыва на территории делового комплекса 'Москва-Сити',Туда выехали кинологи и другие специалисты…
Греческие силовики задержали российского гражданина по запросу Украины,Это случилось в четверг вечером в аэропорту Афин…
Церемония открытия зимней универсиады прошла Красноярске,"Это будет большое и значительное событие, — сказал со сцены президент Международной федерации студенческого спорта Олег Матыцин…"
"Генштаб РФ утверждает, что американские военные хотят использовать протестную активность для подрыва государственности","По словам начальника генерального штаба Валерия Герасимова, эту стратегию назвали «Троянским конем»..."
Пикеты в поддержку обвиняемых по делу организации 'Новое величие' прошли сегодня в центре Москвы,На акцию у станции метро «Третьяковская» собрались около тридцати человек…
Следователи в Москве проверяют информацию о нападении охранника супермаркета на подростков,Инцидент произошел на востоке столицы…
Школьный автобус опрокинулся под Тулой,Травмы получили восемь детей и двое взрослых…
Сергей Устюгов и Александр Большунов пропустят последнюю гонку на чемпионате мира по лыжным видам спорта,Завтра мужчины бегут 50 километров свободным стилем…
Начальника ЦНИИ войск воздушно-космической обороны арестовали по делу о мошенничестве,"Следствие считает, что генерал-майор в отставке Сергей Ягольников содержал рекордное количество «мертвых душ»..."
Индия и Пакистан возобновляют железнодорожное сообщение,Оно было прервано на этой неделе из-за обострения конфликта между двумя странами…
"Французская полиция применила слезоточивый газ против участников демонстраций в городе Нант, на западе страны",Сегодня по всей республике проходят акции протеста движения «желтых жилетов»...
Следственный комитет проверяет информацию об избиении двух подростков в супермаркете на востоке Москвы,Решение о возбуждении уголовного дела пока не принято…
"Боец Александр Емельяненко в суде Кисловодска извинился перед полицейскими и признался, что пьяным сел за руль","Спортсмен утверждает, что не оказывал сопротивления силовикам…"
Архиепископа Крымской епархии ПЦУ обвиняют в нецензурной брани при досмотре на вокзале – адвокат,Об этом сообщил в эфире радиостанции «Эхо Москвы» его адвокат Николай Полозов…
Сегодня тремя матчами завершается 18 тур чемпионата России по футболу,Открывали программу игрового дня в Уфе местные футболисты и столичное «Динамо»...
Петербургские коммунисты рекомендовали кандидатуру режиссёра Владимира Бортко на пост губернатора города,Теперь это предложение должны согласовать в Москве…
Против Браудера в России действительно возбуждено дело об убийстве году российского бизнесмена Перепеличного,Это подтвердил адвокат основателя фонда Hermitage Capital Александр Антипов…
Лидер венесуэльской оппозиции Хуан Гуайдо намерен вернуться в страну завтра во второй половине дня,Об этом он сообщает у себя в Твиттере…
Посол России в Лондоне Александр Яковенко ожидает официальных извинений за клевету от газеты Mail on Sunday,Письмо главному редактору на этот счет уже отправлено…
США стремятся создать коалицию для смены власти в Венесуэле,Это подтвердил советник президента США по нацбезопасности Джон Болтон…
"На архиепископа Православной церкви Украины Климента, задержанного в Симферополе, составляют протокол о хулиганстве",Якобы – за нецензурную брань…
Посол России в Лондоне Александр Яковенко ожидает официальных извинений за клевету от газеты Mail on Sunday,"Издание утверждало, что Яковенко причастен к работе на российские спецслужбы еще с советских времен…"
"Экипаж МКС приступил к разгрузке продовольствия, которое доставил частный американский корабль Crew Dragon",Чуть ранее он впервые совершил стыковку в полностью автоматическом режиме…
В Эстонии продолжаются парламентские выборы,В них участвуют 10 партий и 15 независимых кандидатов…
В Москве начались работы по масштабной реконструкции главной арены спорткомплекса «Олимпийский»,Телеканал «Москва-24» в своем сюжете ранее сообщил о стартовавшем сносе здания спорткомплекса…
Писателя Романа Арбитмана вызвали в полицию из-за его участия в митинге за отставку губернатора Саратовской области,"«Явились двое вежливых людей в погонах и вручили повестку на завтра», — рассказал Роман Арбитман…"
The Mail on Sunday: Посол России в Лондоне Александр Яковенко причастен к работе спецслужб еще с советских времен,"Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
Писатель Арбитман получил повестку в полицию из-за участия в митинге за отставку губернатора в Саратове,Об этом он сообщил в эфире радиостанции «Эхо Москвы»...
Илон Маск ответил в Твиттере по-русски на поздравления с успешной стыковкой корабля Crew Dragon с МКС,"«Спасибо за добрые слова», — написал он, отвечая на поздравления одного из пользователей…"
"Лидер венесуэльской оппозиции Хуан Гуайдо будет задержан, если попытается вернуться в страну",Об этом ТАСС заявил губернатор штата Варгас…
Суд южнокорейского Пусана продлил срок Задержания капитану российского судна 'Сигранд',Корабль 28 февраля врезался в мост в порту…
Британское Минобороны выделило дополнительно 11 миллионов фунтов на борьбу с угрозой применения химоружия,Соответствующее заявление военное ведомство распространило в канун годовщины отравления в Солсбери Сергея и Юлии Скрипалей…
Писателя Романа Арбитмана вызывают в полицию Саратова,Повестку ему вручили на завтра…
В Симферополе задержали архиепископа Православной церкви Украины Климента,"По сведениям ОВД Инфо, это произошло на автовокзале, откуда священнослужитель собирался ехать в Ростов-на-Дону…"
Постановление СК о возбуждении уголовного дела в отношении Браудера абсурдно – адвокат,Такое мнение высказал в эфире радиостанции «Эхо Москвы» адвокат основателя британского фонда Hermitage Capital Уильяма Браудера Александр Антипов…
Чемпионат мира по лыжным видам спорта завершается сегодня в Австрии по традиции мужским марафоном,"Еще на первой половине дистанции в отрыв, причем в одиночку, ушел норвежец Ханс Кристофер Холланд…"
Принадлежащую 'Русалу' горнодобывающую компанию в Гайане могут закрыть из-за увольнений бастовавших сотрудников,Об этом объявили власти южноамериканского государства…
"В МВД отрицают угрозы в адрес полицейских, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко","В ведомстве заверили, что никого из них не уволили…"
The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом спецслужб еще с советских времен,"Официальный представитель МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
Трое полицейских задержаны в Ингушетии при получении взятки,"Cиловики обещали не возбуждать уголовное дело мужчине, которого задержали с наркотиками…"
В Москве сход в поддержку арестованного аспиранта МГУ Азата Мифтахова закончился задержаниями,Акция проходила у главного здания Московского университета…
SpaceX совместно с NASA провела первый в истории успешный пуск пилотируемого частного космического корабля Crew Dragon,Старт производился с помощью многоразовой ракеты Falcon 9 и транслировался в прямом эфире на сетевых ресурсах SpaceX…
Известный ученый Жорес Алферов скончался минувшей ночью на 89-м году жизни,В 2000 году он стал лауреатом Нобелевской премии по физике…
Неизвестные повредили стелу на месте бывшей синагоги Страсбурга,Власти города пообещали найти ответственных за этот акт антисемитизма…
Соединенные штаты впервые с 2011 года вывели в коcмос пилотируемый корабль,Его запустила частная компания SpaceX Илона Маска…
Похороны Алферова пройдут по церемониалу для почетных граждан Петербурга,Законодательное собрание Петербурга присвоило Алферову звание почетного гражданина 23 мая 2001 года…
Сотрудник супермаркета на востоке Москвы избил ремнем двух несовершеннолетних,"Сообщается, что полиция проводит проверку…"
Сразу в двух городах Челябинской области прошли митинги против ухудшения экологической ситуации,"В Миассе люди выступили против строительства горно-обогатительного комбината, в Златоусте – против кремниевого завода…"
"Боец Александр Емельяненко признал в суде Кисловодска, что управлял машиной в нетрезвом состоянии",Его задержали накануне вечером после ДТП…
Норвежская спортсменка Тереза Йохауг выиграла женский марафон на чемпионате мира по лыжным видам спорта,"Норвежская спортсменка Тереза Йохауг выиграла женский марафон на чемпионате мира по лыжным видам спорта в австрийском Зеефельде. Йохауг победила во всех гонках чемпионата, в которых принимала участие, кроме одной, но в ней от самой Йохауг зависело не все. Норвежки уступили в эстафете команде Швеции. В личных дисциплинах Терезу не смог обогнать никто, в том числе и сегодня. Преимущество Йохауг сомнению не подвергалось"
Нобелевский лауреат по физике Жорес Алферов скончался минувшей ночью на 89-м году жизни,Прощание с ним пройдет во вторник в научном центре Академии наук в Санкт-Петербурге…
