url,title,descr
,Тремя матчами завершается 18 тур чемпионата России по футболу,"В первом круге Спартак обыграл краснодарцев на их поле, при том, что хозяева выглядели лучшие и эксперты сочли, что красно-белым повезло…"
,Телеканал 'Москва-24' сообщил о начале сноса главной арены спорткомплекса 'Олимпийский',"Заявления о сносе спорткомплекса преждевременны, — убедился наш корреспондент…"
,Задержанные участники акции в поддержку аспиранта МГУ Азата Мифтахова до сих пор остаются в полиции,Об этом «Эху» рассказала их адвокат Мария Эйсмонт…
,"'360': Полицейским, задержавшим бойца смешанных единоборств Александра Емельяненко, пригрозили увольнением","По данным телеканала, силовиков просили закрыть глаза на происходящее и не трогать Емельяненко, когда выяснилось, что в Кисловодске он управляет автомобилем в нетрезвом состоянии…"
,"Сын британки Дон Стерджес, отравленной в Эймсбери, попросил Владимира Путина посодействовать в расследовании ее гибели",Он направил российскому президенту письмо с просьбой выдать спецслужбам двух подозреваемых по этому делу…
,В столице начали сносить главную арену спорткомплекса 'Олимпийский',"По плану городских властей, на реконструкцию спортивного комплекса уйдет два года…"
,Митинги против 'мусорной реформы' приши в городах Урала,"На согласованные акции вышли жители Екатеринбурга, Ивделя, Асбеста, Тюмени…"
,Дональд Трамп потребовал от Ким Чен Ына закрыть секретный завод по обогащению урана,Американский лидер обратился к северокорейскому коллеге во время недавней встречи в Ханое…
,"Матвиенко: Россия сделает все возможное, чтобы предотвратить военное вторжение США в Венесуэлу",Матвиенко встретилась в Москве с исполнительным вице-президентом Венесуэлы Делси Родригес…
,СКР предъявил Браудеру обвинения в убийстве бизнесмена и информатора по 'делу Магнитского' Александра Перепеличного,Об этом Браудер сообщил в Твиттере…
,"Сын жительницы Великобритании, погибшей от отравления 'Новичком', попросил Путина допросить Боширова и Петрова",20-летний Эван Хоуп написал президенту письмо…
,В столичном районе Зюзино состоится митинг против закрытия роддома 10,Об этом рассказал в эфире радиостанции «Эхо Москвы» муниципальный депутат района Зюзино Константин Янкасукас…
,Жители польского Гданьска сегодня выбирают нового мэра,"Досрочные выборы были назначены после убийства Павла Адамовича, который занимал пост градоначальника больше двадцати лет…"
,В Эстонии сегодня парламентские выборы,"По итогам, планируется избрать больше ста депутатов…"
,Задержанные на акции в поддержку аспирата МГУ Азата Мифтахова до сих пор остаются в полиции,Об этом «Эху» рассказала адвокат участников мероприятия Мария Эйсмонт…
,"В городе Бердск силовики штурмом взяли здание МВД, чтобы задержать замначальника местного отдела полиции",Алексея Зорина и еще одного сотрудника заподозрили в мошенничестве…
,Около 40 автомобилей этим утром попали в аварии на МКАД,Причиной ДТП стал гололед…
,Аномальное потепление идет в Москву,В предстоящий вторник температура будет на пять градусов выше нормы…
,"Трамп объявил, что террористическая организация 'Исламское государство' понесет полное поражение в ближайшие пару дней","Это уже не первый раз на этой неделе, когда Трамп объявляет о скорой победе…"
,Уильяму Браудеру предъявили обвинения в убийстве российского бизнесмена Александра Перепеличного,Об этом сам Браудер сообщил в Твиттере…
,"Телеканал '360': Кисловодским полицейским, задержавшим бойца Александра Емельяненко, может грозить увольнение","По сведениям канала, полицейским был дан приказ не трогать Емельяненко и закрыть на происходящее глаза…"
,"Сын жительницы Великобритании, скончавшейся от отравления ядом 'Новичок', написал письмо президенту России",20-летний Эван Хоуп попросил Владимира Путина позволить британским спецслужбам допросить подозреваемых в организации отравлении в Солсбери…
,В «Роскосмосе» планируют поставить видеокамеры на месте заправки ракет «Союз»,"Вопросом озаботились после недавнего случая, когда перед стартом в топливном баке ракеты из-за недолива закончился окислитель…"
,В Москве сносят спорткомплекс «Олимпийский»,"По плану властей, полная реконструкция займет два года…"
,В районе Рублевского шоссе столкнулись около 40 машин,Сразу две крупные аварии на МКАДе…
,"В Черногории тысячи людей вышли на митинг, требуя отставки президента страны Мило Джукановича и правительства","Жители балканской республики обвиняют власти в коррупции, кумовстве и злоупотреблении служебным положением…"
,Причиной досрочного прекращения саммита США и КНДР стало требование Трампа закрыть секретный завод по обогащению урана,"Президент США рассказал, что секретный объект вычислила разведка…"
,В Греции по запросу Украины задержали гражданина России,Это специалист в области энергетики Евгений Калинин…
,"Погодные условия стали причиной авиаинцидента в аэропорту Петербурга, заявили в компании 'Узбекские авиалинии'","Там подчеркнули, что воздушное судно не получило повреждений…"
,На МКАДе в условиях гололёда столкнулись около 40 автомобилей,ДТП произошло на 59-м километре…
,В аэропорту Кемерово накануне эвакуировали самолет из-за угрозы взрыва,"В полиции сообщили, что была обнаружена бесхозная сумка…"
,В Кисловодске арестовали бойца Александра Емельяненко,Он взят под стражу на десять суток…
,Российские власти обвинили основателя фонда Hermitage Capital в убийстве,"По версии следствия, Уильям Браудер причастен к смерти бизнесмена Александра Перепеличного…"
